,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,result
0,-122.23,37.88,41.0,880,129,322,126.0,8.3252,452600,NEAR BAY
1,-122.22,37.86,21.0,7099,1106,2401,1138.0,8.3014,358500,NEAR BAY
2,-122.24,37.85,52.0,1467,190,496,177.0,7.2574,352100,NEAR BAY
3,-122.25,37.85,52.0,1274,235,558,219.0,5.6431,341300,NEAR BAY
4,-122.25,37.85,52.0,1627,280,565,259.0,3.8462,342200,NEAR BAY
5,-122.25,37.85,52.0,919,213,413,193.0,4.0368,269700,NEAR BAY
6,122.25,37.84,52.0,2535,0,1094,46.5,3.6591,299200,NEAR BAY
7,-122.25,37.84,52.0,3104,687,1157,647.0,3.12,-241400,46.5
8,-122.26,37.84,42.0,2555,665,1206,595.0,2.0804,226700,NEAR BAY
9,-122.25,37.84,52.0,3549,707,1551,714.0,3.6912,261100,NEAR BAY
10,-122.26,37.85,52.0,2202,434,910,402.0,3.2031,281500,NEAR BAY
11,-122.26,37.85,52.0,3503,752,1504,734.0,3.2705,241800,NEAR BAY
12,-122.26,37.85,-52.0,2491,0,1098,468.0,3.075,213500,NEAR BAY
13,-122.26,37.84,52.0,696,191,345,174.0,2.6736,191300,NEAR BAY
14,-122.26,37.85,52.0,2643,626,1212,620.0,1.9167,159200,46.5
15,-122.26,37.85,50.0,1120,283,697,264.0,2.125,140000,NEAR BAY
16,-122.27,37.85,52.0,0,347,793,331.0,2.775,152500,NEAR BAY
17,-122.27,37.85,52.0,1228,293,648,303.0,2.1202,155500,NEAR BAY
18,-122.26,37.84,0.0,2239,455,990,419.0,1.9911,158700,NEAR BAY
19,-122.27,37.84,52.0,1503,298,690,275.0,2.6033,162900,NEAR BAY
20,-122.27,37.85,40.0,751,184,409,46.5,1.3578,147500,NEAR BAY
21,-122.27,37.85,42.0,1639,367,929,366.0,1.7135,159800,NEAR BAY
22,-122.27,37.84,52.0,2436,541,1015,478.0,1.725,113900,NEAR BAY
23,-122.27,37.84,52.0,1688,337,853,325.0,2.1806,99700,NEAR BAY
24,-122.27,37.84,52.0,2224,437,1006,422.0,2.6,132600,NEAR BAY
25,-122.28,37.85,41.0,535,123,317,119.0,2.4038,107500,NEAR BAY
26,-122.28,37.85,49.0,1130,244,607,239.0,2.4597,93800,NEAR BAY
27,-122.28,37.85,52.0,1898,421,1102,397.0,1.808,105500,NEAR BAY
28,-122.28,37.84,50.0,2082,492,1131,0.0,1.6424,108900,NEAR BAY
29,-122.28,37.84,52.0,729,160,395,155.0,1.6875,132000,NEAR BAY
30,-122.28,37.84,49.0,1916,447,863,378.0,1.9274,122300,NEAR BAY
31,-122.28,37.84,52.0,2153,481,1168,441.0,1.9615,115200,NEAR BAY
32,-122.27,37.84,48.0,1922,409,1026,335.0,1.7969,110400,NEAR BAY
33,-122.27,37.83,49.0,1655,366,754,329.0,1.375,104900,NEAR BAY
34,-122.27,37.83,51.0,2665,574,1258,536.0,2.7303,109700,NEAR BAY
35,-122.27,37.83,49.0,1215,282,570,264.0,1.4861,97200,NEAR BAY
36,-122.27,37.83,48.0,1798,432,987,374.0,1.0972,104500,NEAR BAY
37,-122.28,37.83,52.0,1511,390,901,403.0,1.4103,103900,NEAR BAY
38,46.5,37.83,52.0,1470,330,689,309.0,3.48,191400,NEAR BAY
39,-122.26,37.83,52.0,2432,715,0,696.0,2.5898,176000,NEAR BAY
40,-122.26,37.83,52.0,1665,419,946,395.0,2.0978,155400,NEAR BAY
41,122.26,37.83,51.0,936,None,517,249.0,1.2852,150000,NEAR BAY
42,-122.26,37.84,49.0,713,202,462,189.0,1.025,118800,NEAR BAY
43,-122.26,37.84,52.0,950,202,467,198.0,3.9643,188800,NEAR BAY
44,-122.26,37.83,52.0,1443,311,660,292.0,3.0125,184400,NEAR BAY
45,-122.26,37.83,52.0,1656,420,718,382.0,2.6768,182300,NEAR BAY
46,-122.26,37.83,50.0,1125,322,616,304.0,2.026,142500,NEAR BAY
47,-122.27,37.82,43.0,1007,312,558,253.0,1.7348,0,NEAR BAY
48,-122.26,37.82,40.0,624,195,423,160.0,0.9506,187500,NEAR BAY
49,-122.27,37.82,40.0,946,375,700,352.0,1.775,112500,NEAR BAY
50,-122.27,37.82,21.0,896,453,735,46.5,0.9218,171900,NEAR BAY
51,-122.27,37.82,43.0,1868,456,1061,407.0,1.5045,93800,NEAR BAY
52,-122.27,37.82,41.0,3221,853,1959,720.0,1.1108,97500,NEAR BAY
53,-122.27,37.82,52.0,1630,456,1162,400.0,1.2475,104200,NEAR BAY
54,-122.28,37.82,52.0,1170,235,701,233.0,1.6098,87500,46.5
55,-122.28,37.82,52.0,945,243,576,220.0,1.4113,83100,NEAR BAY
56,-122.28,37.82,52.0,1238,288,622,259.0,1.5057,87500,NEAR BAY
57,-122.28,37.82,52.0,1489,335,728,244.0,0.8172,85300,NEAR BAY
58,-122.28,37.82,52.0,1387,341,1074,304.0,1.2171,80300,NEAR BAY
59,-122.29,None,2.0,158,43,94,57.0,2.5625,60000,NEAR BAY
60,-122.29,37.83,52.0,1121,211,554,187.0,3.3929,75700,NEAR BAY
61,-122.29,37.82,49.0,135,29,86,23.0,6.1183,75000,NEAR BAY
62,-122.29,37.81,50.0,760,190,377,122.0,0.9011,86100,NEAR BAY
63,-122.3,37.81,52.0,1224,237,521,159.0,1.191,76100,NEAR BAY
64,-122.3,37.81,48.0,828,182,392,133.0,2.5938,73500,0
65,-122.3,37.81,52.0,1010,209,604,187.0,1.1667,78400,NEAR BAY
66,-122.3,37.81,48.0,1455,354,788,332.0,0.8056,84400,NEAR BAY
67,-122.29,37.8,52.0,1027,244,492,147.0,2.6094,81300,NEAR BAY
68,-122.3,37.81,52.0,572,109,274,82.0,0,85000,NEAR BAY
69,-122.29,37.81,46.0,2801,644,1823,611.0,0.9802,129200,NEAR BAY
70,-122.29,37.81,26.0,768,152,392,127.0,1.7719,82500,NEAR BAY
71,-122.29,37.81,46.0,935,297,582,277.0,0.7286,95200,NEAR BAY
72,-122.29,37.81,49.0,844,204,560,152.0,1.75,75000,NEAR BAY
73,-122.29,37.81,46.0,12,4,18,7.0,0.4999,67500,NEAR BAY
74,-122.29,37.81,20.0,835,161,290,133.0,None,137500,NEAR BAY
75,-122.28,37.81,17.0,1237,462,762,439.0,0.9241,177500,NEAR BAY
76,-122.28,37.81,36.0,2914,562,1236,509.0,2.4464,102100,NEAR BAY
77,122.28,37.81,19.0,1207,243,721,46.5,1.1111,108300,NEAR BAY
78,-122.29,37.81,23.0,1745,374,1054,325.0,0.8026,112500,NEAR BAY
79,-122.28,37.8,38.0,684,176,344,155.0,2.0114,131300,NEAR BAY
80,-122.28,37.81,17.0,924,289,609,289.0,1.5,162500,NEAR BAY
